Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2026-03-30 18:36:48,2026-03-31 13:53:09,ROSSMANN,-10.99,0.00,EUR,COMPLETED,28.72
Card Payment,Current,2026-03-31 10:23:24,2026-04-01 13:07:09,Netto Marken-Discount,-4.33,0.00,EUR,COMPLETED,24.39
Card Payment,Current,2026-03-31 10:10:41,2026-04-01 13:08:57,Blumen Becht,-20.00,0.00,EUR,COMPLETED,4.39
Topup,Current,2026-04-01 19:02:14,2026-04-01 19:03:22,Open banking top-up,100.00,0.00,EUR,COMPLETED,104.39
Transfer,Current,2026-04-01 19:04:05,2026-04-01 19:04:05,Transfer to VENJALIN RAVINDRAN,-5.00,0.00,EUR,COMPLETED,99.39
Rev Payment,Current,2026-04-01 22:17:19,2026-04-01 22:39:04,www.ridedott.com*Dott scooter ride*AMSTERDAM,-0.76,0.00,EUR,COMPLETED,98.63
Card Payment,Current,2026-04-02 15:50:16,2026-04-03 10:20:28,McDonald's,-23.98,0.00,EUR,COMPLETED,74.65
Rev Payment,Current,2026-04-03 11:36:34,2026-04-03 11:41:36,www.ridedott.com*Dott scooter ride*AMSTERDAM,-2.50,0.00,EUR,COMPLETED,72.15
Rev Payment,Current,2026-04-03 11:41:37,2026-04-03 11:41:38,www.ridedott.com*Dott scooter bill 2*AMSTERDAM,-0.78,0.00,EUR,COMPLETED,71.37
Card Payment,Current,2026-04-03 12:30:45,2026-04-04 11:39:44,ROSSMANN,-1.29,0.00,EUR,COMPLETED,70.08
Card Payment,Current,2026-04-07 10:42:56,2026-04-08 13:33:16,Anthropic,-21.42,0.00,EUR,COMPLETED,48.66
Card Payment,Current,2026-04-07 15:41:01,2026-04-08 14:22:17,Netto Marken-Discount,-6.03,0.00,EUR,COMPLETED,42.63
Card Payment,Current,2026-04-07 15:53:55,2026-04-08 15:10:51,Oezan Frischmarkt,-8.57,0.00,EUR,COMPLETED,34.06
Card Payment,Current,2026-04-08 15:52:25,2026-04-09 12:18:39,Netto Marken-Discount,-10.19,0.00,EUR,COMPLETED,23.87
Topup,Current,2026-04-10 10:22:06,2026-04-10 10:22:58,Open banking top-up,300.00,0.00,EUR,COMPLETED,323.87
Card Payment,Current,2026-04-10 11:47:23,2026-04-11 13:41:08,Lidl,-9.87,0.00,EUR,COMPLETED,314.00
Card Payment,Current,2026-04-12 21:27:13,2026-04-13 11:26:36,Postillion Heimservic,-13.65,0.00,EUR,COMPLETED,300.35
Card Payment,Current,2026-04-12 15:40:18,2026-04-13 11:30:31,Subway,-3.99,0.00,EUR,COMPLETED,296.36
Card Payment,Current,2026-04-12 10:24:55,2026-04-13 12:19:05,EDEKA,-6.88,0.00,EUR,COMPLETED,289.48
Transfer,Current,2026-04-13 17:32:27,2026-04-13 17:32:27,Transfer from MOHAMMED ESAM SALEH HALBOUP,12.00,0.00,EUR,COMPLETED,301.48
Card Payment,Current,2026-04-13 17:00:36,2026-04-14 10:38:37,ALDI,-23.95,0.00,EUR,COMPLETED,277.53
Transfer,Current,2026-04-14 15:23:38,2026-04-14 15:23:39,Transfer from MOHAMMED ESAM SALEH HALBOUP,42.25,0.00,EUR,COMPLETED,319.78
Card Payment,Current,2026-04-14 15:21:35,2026-04-15 10:37:07,Protein Works,-84.49,0.00,EUR,COMPLETED,235.29
Transfer,Current,2026-04-15 22:43:55,2026-04-15 22:43:55,Transfer to MOHAMMED ESAM SALEH HALBOUP,-32.40,0.00,EUR,COMPLETED,202.89
Rev Payment,Current,2026-04-17 23:26:49,2026-04-17 23:44:57,www.ridedott.com*Dott scooter ride*AMSTERDAM,-2.50,0.00,EUR,COMPLETED,200.39
Rev Payment,Current,2026-04-17 23:44:58,2026-04-17 23:44:58,www.ridedott.com*Dott scooter bill 2*AMSTERDAM,-5.72,0.00,EUR,COMPLETED,194.67
Card Payment,Current,2026-04-17 23:37:32,2026-04-18 12:44:06,TotalEnergies,-14.90,0.00,EUR,COMPLETED,179.77
Transfer,Current,2026-04-18 21:49:36,2026-04-18 21:49:37,Transfer to MOHAMMED ESAM SALEH HALBOUP,-7.60,0.00,EUR,COMPLETED,172.17
Card Payment,Current,2026-04-18 11:26:53,2026-04-19 12:01:43,Barbarossa Bäckerei,-13.85,0.00,EUR,COMPLETED,158.32
Card Payment,Current,2026-04-18 20:00:26,2026-04-19 12:01:58,Netto Marken-Discount,-7.81,0.00,EUR,COMPLETED,150.51
Transfer,Current,2026-04-20 12:47:45,2026-04-20 12:47:47,To Tabish Khan,-50.00,0.00,EUR,COMPLETED,100.51
Transfer,Current,2026-04-21 22:28:21,2026-04-21 22:28:21,Transfer to MOHAMMED ESAM SALEH HALBOUP,-5.20,0.00,EUR,COMPLETED,95.31
Card Payment,Current,2026-04-21 14:29:41,2026-04-22 11:23:33,Netto Marken-Discount,-1.19,0.00,EUR,COMPLETED,94.12
Card Payment,Current,2026-04-21 14:18:56,2026-04-23 13:37:51,dm drogerie,-6.25,0.00,EUR,COMPLETED,87.87
Transfer,Current,2026-04-23 19:16:29,2026-04-23 19:16:29,Transfer from MOHAMMED ESAM SALEH HALBOUP,20.00,0.00,EUR,COMPLETED,107.87
Transfer,Current,2026-04-24 00:03:13,2026-04-24 00:03:13,Transfer to Elias Sheikh,-40.00,0.00,EUR,COMPLETED,67.87
Rev Payment,Current,2026-04-25 00:05:22,2026-04-25 00:18:12,www.ridedott.com*Dott scooter ride*AMSTERDAM,-2.50,0.00,EUR,COMPLETED,65.37
Rev Payment,Current,2026-04-25 00:18:12,2026-04-25 00:18:13,www.ridedott.com*Dott scooter bill 2*AMSTERDAM,-3.44,0.00,EUR,COMPLETED,61.93
Rev Payment,Current,2026-04-25 00:21:55,2026-04-25 00:37:11,www.ridedott.com*Dott scooter ride*AMSTERDAM,-2.50,0.00,EUR,COMPLETED,59.43
Rev Payment,Current,2026-04-25 00:37:12,2026-04-25 00:37:12,www.ridedott.com*Dott scooter bill 2*AMSTERDAM,-3.58,0.00,EUR,COMPLETED,55.85
Rev Payment,Current,2026-04-25 02:42:27,2026-04-25 02:53:51,www.ridedott.com*Dott scooter ride*AMSTERDAM,-2.50,0.00,EUR,COMPLETED,53.35
Rev Payment,Current,2026-04-25 02:53:52,2026-04-25 02:53:52,www.ridedott.com*Dott scooter bill 2*AMSTERDAM,-3.06,0.00,EUR,COMPLETED,50.29
Transfer,Current,2026-04-25 12:39:39,2026-04-25 12:39:39,Transfer from ELIAS ABASS SHEIKH,6.00,0.00,EUR,COMPLETED,56.29
Transfer,Current,2026-04-26 15:05:52,2026-04-26 15:05:53,Transfer to VENJALIN RAVINDRAN,-5.00,0.00,EUR,COMPLETED,51.29
Transfer,Current,2026-04-26 16:53:03,2026-04-26 16:53:04,Transfer to MOHAMMED ESAM SALEH HALBOUP,-11.50,0.00,EUR,COMPLETED,39.79
Transfer,Current,2026-04-26 17:25:18,2026-04-26 17:25:18,Transfer from MOHAMMED ESAM SALEH HALBOUP,2.00,0.00,EUR,COMPLETED,41.79
Transfer,Current,2026-04-27 18:22:19,2026-04-27 18:22:19,Transfer from Mahdi Ahnaf Hasan,11.04,0.00,EUR,COMPLETED,52.83
Transfer,Current,2026-04-27 18:58:33,2026-04-27 18:58:33,Transfer from MOHAMMED ESAM SALEH HALBOUP,4.70,0.00,EUR,COMPLETED,57.53
Card Payment,Current,2026-04-27 18:20:41,2026-04-28 12:35:43,Netto Marken-Discount,-11.04,0.00,EUR,COMPLETED,46.49
Card Payment,Current,2026-04-27 18:21:24,2026-04-28 12:40:53,Netto Marken-Discount,-11.34,0.00,EUR,COMPLETED,35.15
Card Payment,Current,2026-04-28 16:17:47,2026-04-29 11:59:37,Getsafe,-3.15,0.00,EUR,COMPLETED,32.00
Card Payment,Current,2026-04-30 10:32:17,2026-05-01 15:25:09,Netto Marken-Discount,-28.11,0.00,EUR,COMPLETED,3.89
Transfer,Current,2026-05-01 15:54:07,2026-05-01 15:54:08,Transfer from MOHAMMED ESAM SALEH HALBOUP,14.00,0.00,EUR,COMPLETED,17.89
Transfer,Current,2026-05-02 09:33:38,2026-05-02 09:33:38,Transfer to VENJALIN RAVINDRAN,-15.00,0.00,EUR,COMPLETED,2.89
Transfer,Current,2026-05-02 09:35:55,2026-05-02 09:35:55,Transfer to VENJALIN RAVINDRAN,-2.00,0.00,EUR,COMPLETED,0.89
Topup,Current,2026-05-04 11:10:49,2026-05-04 11:11:24,Open banking top-up,60.00,0.00,EUR,COMPLETED,60.89
Transfer,Current,2026-05-05 18:30:53,2026-05-05 18:30:53,Transfer to MOHAMMED ESAM SALEH HALBOUP,-2.90,0.00,EUR,COMPLETED,57.99
Transfer,Current,2026-05-07 16:54:26,2026-05-07 16:54:26,Transfer to MOHAMMED ESAM SALEH HALBOUP,-18.40,0.00,EUR,COMPLETED,39.59
Card Payment,Current,2026-05-07 11:45:18,2026-05-08 10:22:39,Anthropic,-21.42,0.00,EUR,COMPLETED,18.17
Transfer,Current,2026-05-13 00:05:03,2026-05-13 00:05:03,Transfer from MOHAMMED ESAM SALEH HALBOUP,7.17,0.00,EUR,COMPLETED,25.34
Card Payment,Current,2026-05-12 17:31:24,2026-05-13 11:02:11,Netto Marken-Discount,-16.32,0.00,EUR,COMPLETED,9.02
Transfer,Current,2026-05-14 13:41:27,2026-05-14 13:41:28,Transfer to MOHAMMED ESAM SALEH HALBOUP,-1.00,0.00,EUR,COMPLETED,8.02
Transfer,Current,2026-05-15 21:52:05,2026-05-15 21:52:05,Transfer to VENJALIN RAVINDRAN,-8.00,0.00,EUR,COMPLETED,0.02
Topup,Current,2026-05-17 09:44:50,2026-05-17 09:45:53,Open banking top-up,100.00,0.00,EUR,COMPLETED,100.02
Transfer,Current,2026-05-17 14:51:56,2026-05-17 14:51:57,Transfer from MOHAMMED ESAM SALEH HALBOUP,2.64,0.00,EUR,COMPLETED,102.66
Transfer,Current,2026-05-20 19:11:13,2026-05-20 19:11:13,Transfer from MOHAMMED ESAM SALEH HALBOUP,19.25,0.00,EUR,COMPLETED,121.91
Card Payment,Current,2026-05-20 19:10:28,2026-05-21 15:14:36,Protein Works,-33.57,0.00,EUR,COMPLETED,88.34
Card Payment,Current,2026-05-20 18:42:18,2026-05-21 15:40:36,Netto Marken-Discount,-39.27,0.00,EUR,COMPLETED,49.07
Transfer,Current,2026-05-22 12:23:48,2026-05-22 12:23:48,Transfer from ELIAS ABASS SHEIKH,16.78,0.00,EUR,COMPLETED,65.85
Card Payment,Current,2026-05-22 17:21:57,2026-05-23 19:19:53,Dallmayr,-0.80,0.00,EUR,COMPLETED,65.05
Transfer,Current,2026-05-23 22:08:20,2026-05-23 22:08:20,To pocket EUR Monthly from EUR,-50.00,0.00,EUR,COMPLETED,15.05
Transfer,Current,2026-05-25 11:21:02,2026-05-25 11:21:02,To pocket EUR Monthly from EUR,-11.77,0.00,EUR,COMPLETED,3.28
Card Payment,Current,2026-05-24 15:31:55,2026-05-25 15:37:13,ROSSMANN,-3.28,0.00,EUR,COMPLETED,0.00
Transfer,Current,2026-05-26 20:12:13,2026-05-26 20:12:14,Transfer from MOHAMMED ESAM SALEH HALBOUP,9.50,0.00,EUR,COMPLETED,9.50
Card Payment,Current,2026-05-27 12:23:52,2026-05-28 14:51:37,REWE.de,-1.20,0.00,EUR,COMPLETED,8.30
Card Payment,Current,2026-05-27 09:29:54,2026-05-28 15:22:22,ROSSMANN,-1.39,0.00,EUR,COMPLETED,6.91
Card Payment,Current,2026-05-27 21:50:42,2026-05-28 16:02:53,REWE.de,-0.84,0.00,EUR,COMPLETED,6.07
Topup,Current,2026-05-29 12:42:23,2026-05-29 12:43:29,Open banking top-up,100.00,0.00,EUR,COMPLETED,106.07
Card Payment,Current,2026-05-29 15:48:14,2026-05-30 17:50:27,Getsafe,-3.15,0.00,EUR,COMPLETED,102.92
Card Payment,Current,2026-05-29 12:44:29,2026-05-30 17:57:26,Zava,-84.18,0.00,EUR,COMPLETED,18.74
Transfer,Current,2026-06-02 09:44:02,2026-06-02 09:44:02,Transfer from MOHAMMED ESAM SALEH HALBOUP,34.30,0.00,EUR,COMPLETED,53.04
Card Payment,Current,2026-06-01 12:46:19,2026-06-02 13:14:29,Campusmarkt,-0.67,0.00,EUR,COMPLETED,52.37
Card Refund,Current,2026-06-01 05:13:17,2026-06-02 14:25:23,Eventix,31.43,0.00,EUR,COMPLETED,83.80
Transfer,Current,2026-06-02 14:29:44,2026-06-02 14:29:46,To Shreyas Sachan,-31.43,0.00,EUR,COMPLETED,52.37
Rev Payment,Current,2026-06-04 10:13:52,2026-06-04 10:13:52,Flixbus*Munchen,-29.78,0.00,EUR,COMPLETED,22.59
Rev Payment,Current,2026-06-04 10:22:42,2026-06-04 10:22:42,Flixbus*Munchen,-22.58,0.00,EUR,COMPLETED,0.01
Topup,Current,2026-06-04 20:17:04,2026-06-04 20:18:25,Open banking top-up,100.00,0.00,EUR,COMPLETED,100.01
Transfer,Current,2026-06-04 20:28:13,2026-06-04 20:28:13,Transfer to ELIAS ABASS SHEIKH,-35.00,0.00,EUR,COMPLETED,65.01
Card Payment,Current,2026-06-05 14:45:19,2026-06-06 10:41:56,Netto Marken-Discount,-15.68,0.00,EUR,COMPLETED,49.33
Card Payment,Current,2026-06-06 14:45:47,2026-06-07 11:24:07,Yosefine,-5.00,0.00,EUR,COMPLETED,44.33
Transfer,Current,2026-06-08 00:26:27,2026-06-08 00:26:27,Transfer from MOHAMMED ESAM SALEH HALBOUP,66.50,0.00,EUR,COMPLETED,110.83
Transfer,Current,2026-06-08 00:32:08,2026-06-08 00:32:09,Transfer to MOHAMMED ESAM SALEH HALBOUP,-23.00,0.00,EUR,COMPLETED,87.83
Card Payment,Current,2026-06-07 11:43:50,2026-06-08 10:01:10,Anthropic,-21.42,0.00,EUR,COMPLETED,66.41
Transfer,Current,2026-06-09 15:03:59,2026-06-09 15:03:59,Transfer from MOHAMMED ESAM SALEH HALBOUP,13.50,0.00,EUR,COMPLETED,79.91
Transfer,Current,2026-06-13 19:59:53,2026-06-13 19:59:54,Transfer to ELIAS ABASS SHEIKH,-20.00,0.00,EUR,COMPLETED,59.91
Transfer,Current,2026-06-15 10:29:28,2026-06-15 10:29:29,Transfer from MOHAMMED ESAM SALEH HALBOUP,33.88,0.00,EUR,COMPLETED,93.79
Transfer,Current,2026-06-15 11:29:37,2026-06-15 11:29:38,Transfer from MOHAMMED ESAM SALEH HALBOUP,4.00,0.00,EUR,COMPLETED,97.79
Transfer,Current,2026-06-18 12:08:19,2026-06-18 12:08:20,Transfer to VENJALIN RAVINDRAN,-5.00,0.00,EUR,COMPLETED,92.79
Transfer,Current,2026-06-19 13:11:49,2026-06-19 13:11:49,Transfer from ELIAS ABASS SHEIKH,3.95,0.00,EUR,COMPLETED,96.74
Card Payment,Current,2026-06-19 12:10:24,2026-06-20 14:01:00,Coop,-7.89,0.00,EUR,COMPLETED,88.85
Card Payment,Current,2026-06-19 14:18:11,2026-06-20 14:01:15,Coop,-0.06,0.00,EUR,COMPLETED,88.79
Transfer,Current,2026-06-20 14:59:44,2026-06-20 14:59:44,Transfer to MOHAMMED ESAM SALEH HALBOUP,-6.40,0.00,EUR,COMPLETED,82.39
Card Payment,Current,2026-06-21 13:47:01,2026-06-22 10:33:48,CFL,-5.00,0.00,EUR,COMPLETED,77.39
Transfer,Current,2026-06-25 17:29:01,2026-06-25 17:29:02,Transfer from MOHAMMED ESAM SALEH HALBOUP,20.50,0.00,EUR,COMPLETED,97.89
Card Payment,Current,2026-06-25 16:53:21,2026-06-26 09:55:48,Woolworth,-7.35,0.00,EUR,COMPLETED,90.54
Card Payment,Current,2026-06-25 17:10:16,2026-06-26 10:37:39,Netto Marken-Discount,-43.07,0.00,EUR,COMPLETED,47.47
Topup,Current,2026-06-28 21:49:19,2026-06-28 21:49:20,Payment from N/A JEVALAGGAAN TAMIL ALAGAN,64.00,0.00,EUR,COMPLETED,111.47
Card Payment,Current,2026-06-29 14:40:04,2026-06-30 11:12:16,Getsafe,-3.15,0.00,EUR,COMPLETED,108.32
Card Payment,Current,2026-07-01 14:11:34,2026-07-02 11:41:14,iCoffee,-3.95,0.00,EUR,COMPLETED,104.37
Card Payment,Current,2026-07-02 15:11:37,2026-07-03 11:07:00,Freundeskreis Der,-2.50,0.00,EUR,COMPLETED,101.87
Transfer,Current,2026-07-03 17:55:42,2026-07-03 17:55:42,Transfer to MOHAMMED ESAM SALEH HALBOUP,-6.10,0.00,EUR,COMPLETED,95.77
Transfer,Current,2026-07-05 23:22:29,2026-07-05 23:22:30,Transfer from Mahmoud Ragab Hassan Elnezely,2.20,0.00,EUR,COMPLETED,97.97
Transfer,Current,2026-07-05 23:22:40,2026-07-05 23:22:40,Transfer from Yousef Mostafa Farouk Farag,3.00,0.00,EUR,COMPLETED,100.97
Transfer,Current,2026-07-07 15:16:28,2026-07-07 15:16:29,Transfer to ELIAS ABASS SHEIKH,-21.20,0.00,EUR,COMPLETED,79.77
Transfer,Current,2026-07-07 17:17:20,2026-07-07 17:17:20,Transfer from MOHAMMED ESAM SALEH HALBOUP,10.60,0.00,EUR,COMPLETED,90.37
Card Payment,Current,2026-07-07 11:43:38,2026-07-08 10:42:40,Anthropic,-21.42,0.00,EUR,COMPLETED,68.95
Transfer,Current,2026-07-08 17:44:04,2026-07-08 17:44:04,Transfer from MOHAMMED ESAM SALEH HALBOUP,8.20,0.00,EUR,COMPLETED,77.15
Card Payment,Current,2026-07-08 19:47:59,2026-07-09 10:52:43,Netto Marken-Discount,-4.38,0.00,EUR,COMPLETED,72.77
Card Payment,Current,2026-07-08 17:39:49,2026-07-09 10:52:45,Netto Marken-Discount,-16.40,0.00,EUR,COMPLETED,56.37
Card Payment,Current,2026-07-08 17:24:02,2026-07-09 11:11:07,Deutsche Post,-2.19,0.00,EUR,COMPLETED,54.18
Transfer,Current,2026-07-10 19:15:20,2026-07-10 19:15:20,Transfer to ELIAS ABASS SHEIKH,-39.98,0.00,EUR,COMPLETED,14.20
Transfer,Current,2026-07-10 19:27:00,2026-07-10 19:27:00,Pocket Withdrawal,12.83,0.00,EUR,COMPLETED,27.03
Topup,Current,2026-07-10 19:27:26,2026-07-10 19:28:42,Open banking top-up,200.00,0.00,EUR,COMPLETED,227.03
Transfer,Current,2026-07-10 19:28:59,2026-07-10 19:28:59,To pocket EUR Monthly from EUR,-20.00,0.00,EUR,COMPLETED,207.03
Transfer,Current,2026-07-11 19:13:44,2026-07-11 19:13:45,Transfer from MOHAMMED ESAM SALEH HALBOUP,20.00,0.00,EUR,COMPLETED,227.03
Card Payment,Current,2026-07-11 16:00:39,2026-07-12 10:57:59,Mr Phung,-19.00,0.00,EUR,COMPLETED,208.03
Transfer,Current,2026-07-13 21:05:54,2026-07-13 21:05:54,Transfer from MOHAMMED ESAM SALEH HALBOUP,11.96,0.00,EUR,COMPLETED,219.99
Card Payment,Current,2026-07-13 19:55:31,2026-07-14 11:22:47,Netto Marken-Discount,-23.92,0.00,EUR,COMPLETED,196.07
Transfer,Current,2026-07-21 10:03:46,2026-07-21 10:03:46,Transfer to MOHAMMED ESAM SALEH HALBOUP,-19.50,0.00,EUR,COMPLETED,176.57
Transfer,Current,2026-07-27 08:27:39,2026-07-27 08:27:40,Transfer to MOHAMMED ESAM SALEH HALBOUP,-20.00,0.00,EUR,COMPLETED,156.57
Transfer,Current,2026-07-27 16:43:41,2026-07-27 16:43:43,To Benjamin Andres Sanchez Adam,-5.00,0.00,EUR,COMPLETED,151.57
Card Payment,Current,2026-07-27 17:51:17,2026-07-28 11:56:18,Woolworth,-5.00,0.00,EUR,COMPLETED,146.57
Card Refund,Current,2026-07-27 17:58:22,2026-07-28 11:56:43,Woolworth,5.00,0.00,EUR,COMPLETED,151.57
Card Payment,Current,2026-07-28 16:20:06,2026-07-29 11:10:32,Getsafe,-3.15,0.00,EUR,COMPLETED,148.42
Card Payment,Current,2026-07-28 20:01:46,2026-07-29 11:34:56,Netto Marken-Discount,-39.67,0.00,EUR,COMPLETED,108.75
Transfer,Current,2026-07-30 13:32:55,2026-07-30 13:32:56,Transfer to MOHAMMED ESAM SALEH HALBOUP,-8.46,0.00,EUR,COMPLETED,100.29
Exchange,Current,2026-07-30 15:03:49,2026-07-30 15:03:49,Exchanged to EUR,53.52,0.00,EUR,COMPLETED,153.81
Transfer,Current,2026-07-31 09:32:44,2026-07-31 09:32:44,Transfer from MOHAMMED ESAM SALEH HALBOUP,76.86,0.00,EUR,COMPLETED,230.67
Transfer,Current,2026-07-31 17:40:22,2026-07-31 17:40:23,Transfer to MOHAMMED ESAM SALEH HALBOUP,-50.00,0.00,EUR,COMPLETED,180.67
Card Payment,Current,2026-07-31 18:18:34,2026-08-01 10:46:40,ALDI,-10.34,0.00,EUR,COMPLETED,170.33
Transfer,Current,2026-08-01 13:36:13,2026-08-01 13:36:14,Transfer from MOHAMMED ESAM SALEH HALBOUP,5.17,0.00,EUR,COMPLETED,175.50
Transfer,Current,2026-08-02 13:57:26,2026-08-02 13:57:27,Transfer to ELIAS ABASS SHEIKH,-24.99,0.00,EUR,COMPLETED,150.51
Transfer,Current,2026-08-02 22:03:15,2026-08-02 22:03:15,Pocket Withdrawal,12.50,0.00,EUR,COMPLETED,163.01
Transfer,Current,2026-08-04 15:20:23,2026-08-04 15:20:25,Transfer to MOHAMMED ESAM SALEH HALBOUP,-25.00,0.00,EUR,COMPLETED,138.01
Card Payment,Current,2026-08-05 23:48:20,2026-08-06 11:39:21,Deutsche Bahn,-67.99,0.00,EUR,COMPLETED,70.02
Topup,Current,2026-08-07 03:09:06,2026-08-07 03:09:07,Payment from KARIM HACKMANN,68.00,0.00,EUR,COMPLETED,138.02
Topup,Current,2026-08-07 11:32:26,2026-08-07 11:33:22,Open banking top-up,200.00,0.00,EUR,COMPLETED,338.02
Transfer,Current,2026-08-07 11:34:02,2026-08-07 11:34:03,Transfer to MOHAMMED ESAM SALEH HALBOUP,-150.00,0.00,EUR,COMPLETED,188.02
Transfer,Current,2026-08-08 10:30:57,2026-08-08 10:30:58,Transfer to Teodor Vasilev,-40.00,0.00,EUR,COMPLETED,148.02
Transfer,Current,2026-08-08 18:48:18,2026-08-08 18:48:19,Transfer from MOHAMMED ESAM SALEH HALBOUP,6.30,0.00,EUR,COMPLETED,154.32
Card Payment,Current,2026-08-08 18:39:47,2026-08-09 10:23:06,Netto Marken-Discount,-17.64,0.00,EUR,COMPLETED,136.68
Topup,Current,2026-08-09 21:31:06,2026-08-09 21:32:04,Open banking top-up,200.00,0.00,EUR,COMPLETED,336.68
Topup,Current,2026-08-09 21:33:15,2026-08-09 21:33:46,Open banking top-up,100.00,0.00,EUR,COMPLETED,436.68
Card Payment,Current,2026-08-09 15:56:41,2026-08-10 10:29:27,ROSSMANN,-2.44,0.00,EUR,COMPLETED,434.24
Card Payment,Current,2026-08-09 21:34:18,2026-08-10 10:32:10,Back Market,-374.99,0.00,EUR,COMPLETED,59.25
Card Payment,Current,2026-08-09 19:07:52,2026-08-10 10:46:41,McDonald's,-4.29,0.00,EUR,COMPLETED,54.96
